"frame: Ascending","Average scoreMe","Average target"
1,0,"0.08"
2,0,"0.08"
3,0,"0.08"
4,0,"0.08"
5,0,"0.08"
6,"0.0073","0.08"
7,"0.0102","0.08"
8,"0.0091","0.08"
9,"0.0082","0.08"
10,"0.0056","0.08"
11,"0.0212","0.08"
12,"0.0216","0.08"
13,"0.0179","0.08"
14,"0.0187","0.08"
15,"0.0191","0.08"
16,"0.028","0.08"
17,"0.0296","0.08"
18,"0.0315","0.08"
19,"0.0282","0.08"
20,"0.0273","0.08"
21,"0.0314","0.08"
22,"0.0322","0.08"
23,"0.0276","0.08"
24,"0.0289","0.08"
25,"0.0309","0.08"
26,"0.033","0.08"
27,"0.0357","0.08"
28,"0.0328","0.08"
29,"0.0327","0.08"
30,"0.033","0.08"
31,"0.0357","0.08"
32,"0.0339","0.08"
33,"0.0349","0.08"
34,"0.0366","0.08"
35,"0.0384","0.08"
36,"0.0398","0.08"
37,"0.0393","0.08"
38,"0.0406","0.08"
39,"0.0385","0.08"
40,"0.041","0.08"
41,"0.0402","0.08"
42,"0.0428","0.08"
43,"0.043","0.08"
44,"0.042","0.08"
45,"0.0398","0.08"
46,"0.0393","0.08"
47,"0.0407","0.08"
48,"0.0369","0.08"
49,"0.0399","0.08"
50,"0.037","0.08"
51,"0.0388","0.08"
52,"0.0392","0.08"
53,"0.0412","0.08"
54,"0.0409","0.08"
55,"0.044","0.08"
56,"0.0443","0.08"
57,"0.0432","0.08"
58,"0.0414","0.08"
59,"0.0442","0.08"
60,"0.0371","0.08"
61,"0.0492","0.08"
62,"0.0499","0.08"
63,"0.045","0.08"
64,"0.0462","0.08"
65,"0.0476","0.08"
66,"0.0525","0.08"
67,"0.0522","0.08"
68,"0.0525","0.08"
69,"0.0518","0.08"
70,"0.0553","0.08"
71,"0.0593","0.08"
72,"0.0572","0.08"
73,"0.0643","0.08"
74,"0.0668","0.08"
75,"0.0585","0.08"
76,"0.0634","0.08"
77,"0.0623","0.08"
78,"0.0599","0.08"
79,"0.0724","0.08"
80,"0.0627","0.08"
81,"0.068","0.08"
82,"0.072","0.08"
83,"0.0692","0.08"
84,"0.0647","0.08"
85,"0.066","0.08"
86,"0.0675","0.08"
87,"0.0712","0.08"
88,"0.0676","0.08"
89,"0.0711","0.08"
90,"0.0658","0.08"
91,"0.0697","0.08"
92,"0.0767","0.08"
93,"0.0673","0.08"
94,"0.0743","0.08"
95,"0.0756","0.08"
96,"0.0619","0.08"
97,"0.0675","0.08"
98,"0.0574","0.08"
99,"0.053","0.08"
100,"0.0547","0.08"
101,"0.0538","0.08"
102,"0.0579","0.08"
103,"0.0565","0.08"
104,"0.053","0.08"
105,"0.0525","0.08"
106,"0.0553","0.08"
107,"0.0524","0.08"
108,"0.0564","0.08"
109,"0.0552","0.08"
110,"0.057","0.08"
111,"0.0573","0.08"
112,"0.0544","0.08"
113,"0.0552","0.08"
114,"0.0571","0.08"
115,"0.0571","0.08"
116,"0.0572","0.08"
117,"0.0603","0.08"
118,"0.0584","0.08"
119,"0.0622","0.08"
120,"0.0556","0.08"
121,"0.0624","0.08"
122,"0.0609","0.08"
123,"0.0583","0.08"
124,"0.0556","0.08"
125,"0.0612","0.08"
126,"0.0631","0.08"
127,"0.0604","0.08"
128,"0.0593","0.08"
129,"0.064","0.08"
130,"0.0606","0.08"
131,"0.0629","0.08"
132,"0.0654","0.08"
133,"0.0613","0.08"
134,"0.0684","0.08"
135,"0.062","0.08"
136,"0.0648","0.08"
137,"0.0661","0.08"
138,"0.0655","0.08"
139,"0.0635","0.08"
140,"0.0664","0.08"
141,"0.0653","0.08"
142,"0.065","0.08"
143,"0.0686","0.08"
144,"0.0681","0.08"
145,"0.0694","0.08"
146,"0.0679","0.08"
147,"0.0687","0.08"
148,"0.0666","0.08"
149,"0.0667","0.08"
150,"0.0672","0.08"
151,"0.0656","0.08"
152,"0.0726","0.08"
153,"0.0673","0.08"
154,"0.0694","0.08"
155,"0.0698","0.08"
156,"0.0729","0.08"
157,"0.0683","0.08"
158,"0.0663","0.08"
159,"0.0711","0.08"
160,"0.0677","0.08"
161,"0.0676","0.08"
162,"0.0724","0.08"
163,"0.071","0.08"
164,"0.0744","0.08"
165,"0.067","0.08"
166,"0.0694","0.08"
167,"0.0745","0.08"
168,"0.0716","0.08"
169,"0.071","0.08"
170,"0.0757","0.08"
171,"0.0741","0.08"
172,"0.0688","0.08"
173,"0.0747","0.08"
174,"0.0722","0.08"
175,"0.0723","0.08"
176,"0.0748","0.08"
177,"0.0795","0.08"
178,"0.0726","0.08"
179,"0.0723","0.08"
180,"0.0739","0.08"
181,"0.0768","0.08"
182,"0.0763","0.08"
183,"0.0733","0.08"
184,"0.0762","0.08"
185,"0.0755","0.08"
186,"0.0739","0.08"
187,"0.0744","0.08"
188,"0.0778","0.08"
189,"0.0743","0.08"
190,"0.0744","0.08"
191,"0.0708","0.08"
192,"0.074","0.08"
193,"0.081","0.08"
194,"0.0747","0.08"
195,"0.0742","0.08"
196,"0.0773","0.08"
197,"0.0835","0.08"
198,"0.0813","0.08"
199,"0.0816","0.08"
200,"0.0824","0.08"
201,"0.0817","0.08"
202,"0.0794","0.08"
203,"0.0813","0.08"
204,"0.077","0.08"
205,"0.0803","0.08"
206,"0.0796","0.08"
207,"0.0774","0.08"
208,"0.0779","0.08"
209,"0.075","0.08"
210,"0.0748","0.08"
211,"0.0731","0.08"
212,"0.0722","0.08"
213,"0.0718","0.08"
214,"0.0737","0.08"
215,"0.0681","0.08"
216,"0.0715","0.08"
217,"0.07","0.08"
218,"0.07","0.08"
219,"0.0707","0.08"
220,"0.0689","0.08"
221,"0.0711","0.08"
222,"0.0687","0.08"
223,"0.0691","0.08"
224,"0.0686","0.08"
225,"0.067","0.08"
226,"0.0631","0.08"
227,"0.0655","0.08"
228,"0.0645","0.08"
229,"0.0588","0.08"
230,"0.0596","0.08"
231,"0.0519","0.08"
232,"0.0511","0.08"
233,"0.0514","0.08"
234,"0.0516","0.08"
235,"0.0532","0.08"
236,"0.0512","0.08"
237,"0.0509","0.08"
238,"0.0523","0.08"
239,"0.0517","0.08"
240,"0.0528","0.08"
241,"0.054","0.08"
242,"0.0511","0.08"
243,"0.0568","0.08"
244,"0.0566","0.08"
245,"0.0514","0.08"
246,"0.0562","0.08"
247,"0.0547","0.08"
248,"0.056","0.08"
249,"0.0548","0.08"
250,"0.0556","0.08"
251,"0.0533","0.08"
252,"0.0562","0.08"
253,"0.0563","0.08"
254,"0.0526","0.08"
255,"0.056","0.08"
256,"0.0536","0.08"
257,"0.054","0.08"
258,"0.0563","0.08"
259,"0.055","0.08"
260,"0.0532","0.08"
261,"0.0506","0.08"
262,"0.0551","0.08"
263,"0.0557","0.08"
264,"0.0641","0.08"
265,"0.0538","0.08"
266,"0.0561","0.08"
267,"0.0545","0.08"
268,"0.0552","0.08"
269,"0.0579","0.08"
270,"0.0567","0.08"
271,"0.0537","0.08"
272,"0.0561","0.08"
273,"0.0565","0.08"
274,"0.057","0.08"
275,"0.0545","0.08"
276,"0.0561","0.08"
277,"0.06","0.08"
278,"0.0563","0.08"
279,"0.0598","0.08"
280,"0.0616","0.08"
281,"0.0624","0.08"
282,"0.0689","0.08"
283,"0.0639","0.08"
284,"0.0602","0.08"
285,"0.0635","0.08"
286,"0.0663","0.08"
287,"0.0615","0.08"
288,"0.0639","0.08"
289,"0.067","0.08"
290,"0.0684","0.08"
291,"0.0672","0.08"
292,"0.0741","0.08"
293,"0.0695","0.08"
294,"0.0689","0.08"
295,"0.0718","0.08"
296,"0.0712","0.08"
297,"0.0659","0.08"
298,"0.0765","0.08"
299,"0.0711","0.08"
300,"0.0741","0.08"
301,"0.069","0.08"
302,"0.0695","0.08"
303,"0.0724","0.08"
304,"0.0705","0.08"
305,"0.0652","0.08"
306,"0.0713","0.08"
307,"0.0747","0.08"
308,"0.0753","0.08"
309,"0.0762","0.08"
310,"0.0859","0.08"
311,"0.0741","0.08"
312,"0.081","0.08"
313,"0.0818","0.08"
314,"0.0853","0.08"
315,"0.0778","0.08"
316,"0.0767","0.08"
317,"0.0763","0.08"
318,"0.0816","0.08"
319,"0.0738","0.08"
320,"0.0821","0.08"
321,"0.0872","0.08"
322,"0.0704","0.08"
323,"0.145","0.08"
324,"0.0891","0.08"
325,"0.0849","0.08"
326,"0.0761","0.08"
327,"0.0822","0.08"
328,"0.0763","0.08"
329,"0.0797","0.08"
330,"0.0785","0.08"
331,"0.0795","0.08"
332,"0.0819","0.08"
333,"0.0759","0.08"
334,"0.0757","0.08"
335,"0.0789","0.08"
336,"0.077","0.08"
337,"0.0805","0.08"
338,"0.0746","0.08"
339,"0.0756","0.08"
340,"0.075","0.08"
341,"0.0756","0.08"
342,"0.0745","0.08"
343,"0.0797","0.08"
344,"0.0687","0.08"
345,"0.0781","0.08"
346,"0.0716","0.08"
347,"0.0766","0.08"
348,"0.0738","0.08"
349,"0.0737","0.08"
350,"0.0711","0.08"
351,"0.0715","0.08"
352,"0.0739","0.08"
353,"0.0714","0.08"
354,"0.0735","0.08"
355,"0.0768","0.08"
356,"0.0782","0.08"
357,"0.0757","0.08"
358,"0.0761","0.08"
359,"0.0816","0.08"
360,"0.0767","0.08"
361,"0.0721","0.08"
362,"0.0748","0.08"
363,"0.0756","0.08"
364,"0.0743","0.08"
365,"0.0698","0.08"
366,"0.0707","0.08"
367,"0.0703","0.08"
368,"0.0743","0.08"
369,"0.0714","0.08"
370,"0.071","0.08"
371,"0.0717","0.08"
372,"0.0753","0.08"
373,"0.0723","0.08"
374,"0.0674","0.08"
375,"0.0711","0.08"
376,"0.0708","0.08"
377,"0.0727","0.08"
378,"0.0655","0.08"
379,"0.0772","0.08"
380,"0.0691","0.08"
381,"0.0743","0.08"
382,"0.0668","0.08"
383,"0.0719","0.08"
384,"0.071","0.08"
385,"0.0735","0.08"
386,"0.0691","0.08"
387,"0.0727","0.08"
388,"0.0702","0.08"
389,"0.074","0.08"
390,"0.0697","0.08"
391,"0.0711","0.08"
392,"0.0753","0.08"
393,"0.0748","0.08"
394,"0.0728","0.08"
395,"0.0777","0.08"
396,"0.0689","0.08"
397,"0.0718","0.08"
398,"0.0676","0.08"
399,"0.0697","0.08"
400,"0.0723","0.01"
401,"0.0684","0.01"
402,"0.0667","0.01"
403,"0.0748","0.01"
404,"0.0707","0.01"
405,"0.0759","0.01"
406,"0.0635","0.01"
407,"0.0701","0.01"
408,"0.0686","0.01"
409,"0.0728","0.01"
410,"0.0644","0.01"
411,"0.0676","0.01"
412,"0.0693","0.01"
413,"0.0682","0.01"
414,"0.0668","0.01"
415,"0.0699","0.01"
416,"0.0668","0.01"
417,"0.0665","0.01"
418,"0.0657","0.01"
419,"0.0644","0.01"
420,"0.0638","0.01"
421,"0.0598","0.01"
422,"0.0616","0.01"
423,"0.0626","0.01"
424,"0.0624","0.01"
425,"0.0606","0.01"
426,"0.059","0.01"
427,"0.0618","0.01"
428,"0.0599","0.01"
429,"0.0579","0.01"
430,"0.0587","0.01"
431,"0.0585","0.01"
432,"0.0595","0.01"
433,"0.0613","0.01"
434,"0.0588","0.01"
435,"0.0571","0.01"
436,"0.0584","0.01"
437,"0.0574","0.01"
438,"0.0611","0.01"
439,"0.0571","0.01"
440,"0.0574","0.01"
441,"0.0586","0.01"
442,"0.0565","0.01"
443,"0.0586","0.01"
444,"0.0585","0.01"
445,"0.0553","0.01"
446,"0.0585","0.01"
447,"0.0554","0.01"
448,"0.0583","0.01"
